Popularity_Status,Debut_Start,Debut_Finish,Total_Years,G1,G2,G3,G4,G5,G6
1,2009,2016,7,7,1,5,3,3,1
2,2017,2019,2,2,6,3,7,2,2
3,2018,2021,3,3,7,3,4,5,2
4,2010,2017,7,7,4,3,7,2,5
5,2007,2017,10,10,3,3,2,2,5
6,2009,2016,7,7,5,0,2,5,9
7,2016,2017,1,1,4,15,6,6,6
8,2015,2021,6,6,6,3,4,3,3
9,2019,2020,1,1,9,8,1,2,2
10,2010,2017,7,7,7,2,1,4,6
11,2007,2016,9,9,6,6,2,4,6
12,2008,2017,9,9,6,3,3,6,7
13,2010,2019,9,9,3,14,1,4,5
14,2017,2018,1,,,,,,11
15,2011,2017,6,,,,,,
16,2009,2016,7,,,,,,
17,2013,2017,4,,,,,,
18,2014,2017,3,,,,,,
19,2012,2017,5,,,,,,
20,2012,2016,4,,,,,,
21,2012,2018,6,,,,,,
22,2009,2018,9,,,,,,
23,2011,2018,7,,,,,,
24,2014,2020,6,,,,,,
25,2012,2018,6,,,,,,
26,2012,2015,3,,,,,,
27,2013,2018,5,,,,,,
28,2012,2015,3,,,,,,
29,2010,2013,3,,,,,,
30,2012,2015,3,,,,,,
31,2012,2015,3,,,,,,
32,2015,2015,0,,,,,,
33,2002,2017,15,,,,,,
34,2013,2016,3,,,,,,
35,2010,2018,8,,,,,,
36,2014,2016,2,,,,,,
37,2011,2017,6,,,,,,
38,2014,2017,3,,,,,,
39,2001,2015,14,,,,,,
40,2014,2017,3,,,,,,
41,2009,2016,7,,,,,,
42,2011,2015,4,,,,,,
43,2007,2014,7,,,,,,
44,2013,2015,2,,,,,,
45,2013,2015,2,,,,,,
46,2011,2017,6,,,,,,
47,2010,2014,4,,,,,,
48,2015,2016,1,,,,,,
49,2016,2017,1,,,,,,
50,2012,2014,2,,,,,,
51,2012,2015,3,,,,,,
52,2014,2015,1,,,,,,
53,2013,2016,3,,,,,,
54,2013,2015,2,,,,,,
55,2007,2012,5,,,,,,
56,2014,2016,2,,,,,,
57,2012,2014,2,,,,,,
58,2006,2011,5,,,,,,
59,2011,2017,6,,,,,,
60,2012,2015,3,,,,,,
61,2012,2014,2,,,,,,
62,2012,2016,4,,,,,,
63,2011,2015,4,,,,,,
64,2011,2017,6,,,,,,
65,2009,2013,4,,,,,,
66,2012,2013,1,,,,,,
67,2015,2017,2,,,,,,
68,2014,2016,2,,,,,,
69,2010,2015,5,,,,,,
70,2011,2016,5,,,,,,
71,2003,2012,9,,,,,,
72,2009,2015,6,,,,,,
73,2013,2016,3,,,,,,
74,2011,2013,2,,,,,,
75,2010,2016,6,,,,,,
76,2005,2011,6,,,,,,
77,2003,2010,7,,,,,,
78,1992,1997,5,,,,,,
79,2003,2014,11,,,,,,
